aqi,city_name,city_url,co,crawl_time,date,level,no_2,o3,pm10,pm2_5,so_2,spider
,德州,https://www.aqistudy.cn/historydata/monthdata.php?city=德州,,,,,,,,,,
,儋州,https://www.aqistudy.cn/historydata/monthdata.php?city=儋州,,,,,,,,,,
,鄂尔多斯,https://www.aqistudy.cn/historydata/monthdata.php?city=鄂尔多斯,,,,,,,,,,
,恩施州,https://www.aqistudy.cn/historydata/monthdata.php?city=恩施州,,,,,,,,,,
,鄂州,https://www.aqistudy.cn/historydata/monthdata.php?city=鄂州,,,,,,,,,,
,防城港,https://www.aqistudy.cn/historydata/monthdata.php?city=防城港,,,,,,,,,,
,抚顺,https://www.aqistudy.cn/historydata/monthdata.php?city=抚顺,,,,,,,,,,
,佛山,https://www.aqistudy.cn/historydata/monthdata.php?city=佛山,,,,,,,,,,
,阜新,https://www.aqistudy.cn/historydata/monthdata.php?city=阜新,,,,,,,,,,
,阜阳,https://www.aqistudy.cn/historydata/monthdata.php?city=阜阳,,,,,,,,,,
,富阳,https://www.aqistudy.cn/historydata/monthdata.php?city=富阳,,,,,,,,,,
,福州,https://www.aqistudy.cn/historydata/monthdata.php?city=福州,,,,,,,,,,
,抚州,https://www.aqistudy.cn/historydata/monthdata.php?city=抚州,,,,,,,,,,
,广安,https://www.aqistudy.cn/historydata/monthdata.php?city=广安,,,,,,,,,,
,贵港,https://www.aqistudy.cn/historydata/monthdata.php?city=贵港,,,,,,,,,,
,果洛州,https://www.aqistudy.cn/historydata/monthdata.php?city=果洛州,,,,,,,,,,
,桂林,https://www.aqistudy.cn/historydata/monthdata.php?city=桂林,,,,,,,,,,
,甘南州,https://www.aqistudy.cn/historydata/monthdata.php?city=甘南州,,,,,,,,,,
,贵阳,https://www.aqistudy.cn/historydata/monthdata.php?city=贵阳,,,,,,,,,,
,广元,https://www.aqistudy.cn/historydata/monthdata.php?city=广元,,,,,,,,,,
,固原,https://www.aqistudy.cn/historydata/monthdata.php?city=固原,,,,,,,,,,
,广州,https://www.aqistudy.cn/historydata/monthdata.php?city=广州,,,,,,,,,,
,甘孜州,https://www.aqistudy.cn/historydata/monthdata.php?city=甘孜州,,,,,,,,,,
,赣州,https://www.aqistudy.cn/historydata/monthdata.php?city=赣州,,,,,,,,,,
,淮安,https://www.aqistudy.cn/historydata/monthdata.php?city=淮安,,,,,,,,,,
,淮北,https://www.aqistudy.cn/historydata/monthdata.php?city=淮北,,,,,,,,,,
,鹤壁,https://www.aqistudy.cn/historydata/monthdata.php?city=鹤壁,,,,,,,,,,
